adduser	3.137ubuntu1
libpcre2-32-0	10.42-4ubuntu2.1
libpcre2-8-0	10.42-4ubuntu2.1
libpcre2-dev	10.42-4ubuntu2.1
libpcre2-posix3	10.42-4ubuntu2.1
libpcre3	2:8.39-15build1
libpcre3-dev	2:8.39-15build1
libpcre32-3	2:8.39-15build1
libpcrecpp0v5	2:8.39-15build1
libpcsclite1	2.0.3-1build1
libperl5.38t64	5.38.2-3.2ubuntu0.3
libpfm4	4.13.0+git32-g0d4ed0e-1
libpgm-5.3-0t64	5.3.128~dfsg-2.1build1
libpgm-dev	5.3.128~dfsg-2.1build1
libpipeline1	1.5.7-2
libpixman-1-0	0.42.2-1build1
libpixman-1-dev	0.42.2-1build1
libpkgconf3	1.8.1-2build1
libplacebo338	6.338.2-2build1
libplist-2.0-4	2.3.0-1~exp2build2
libplymouth5	24.004.60-1ubuntu7.2
libpmix-dev	5.0.1-4.1build1
libpmix2t64	5.0.1-4.1build1
libpng-dev	1.6.43-5ubuntu0.6
libpng16-16t64	1.6.43-5ubuntu0.6
libpocketsphinx3	0.8.0+real5prealpha+1-15ubuntu5
libpoco-dev	1.11.0-4.1build2
libpocoactiverecord80t64	1.11.0-4.1build2
libpococrypto80t64	1.11.0-4.1build2
libpocodata80t64	1.11.0-4.1build2
libpocodatamysql80t64	1.11.0-4.1build2
libpocodataodbc80t64	1.11.0-4.1build2
libpocodatapostgresql80t64	1.11.0-4.1build2
libpocodatasqlite80t64	1.11.0-4.1build2
libpocoencodings80t64	1.11.0-4.1build2
libpocofoundation80t64	1.11.0-4.1build2
libpocojson80t64	1.11.0-4.1build2
libpocojwt80t64	1.11.0-4.1build2
libpocomongodb80t64	1.11.0-4.1build2
libpoconet80t64	1.11.0-4.1build2
libpoconetssl80t64	1.11.0-4.1build2
libpocoredis80t64	1.11.0-4.1build2
libpocoutil80t64	1.11.0-4.1build2
libpocoxml80t64	1.11.0-4.1build2
libpocozip80t64	1.11.0-4.1build2
libpolkit-agent-1-0	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0	124-2ubuntu1.24.04.3
libpoppler-dev	24.02.0-1ubuntu9.9
libpoppler-private-dev	24.02.0-1ubuntu9.9
libpoppler134	24.02.0-1ubuntu9.9
libpopt0	1.19+dfsg-1build1
libpostproc-dev	7:6.1.1-3ubuntu5
libpostproc57	7:6.1.1-3ubuntu5
libpq-dev	16.14-0ubuntu0.24.04.1
libpq5	16.14-0ubuntu0.24.04.1
libproc-processtable-perl	0.636-1build3
libproc2-0	2:4.0.4-4ubuntu3.2
libproj-dev	9.4.0-1build2
libproj25	9.4.0-1build2
libprotobuf-c1	1.4.1-1ubuntu4
libprotobuf-dev	3.21.12-8.2ubuntu0.3
libprotobuf-lite32t64	3.21.12-8.2ubuntu0.3
libprotobuf32t64	3.21.12-8.2ubuntu0.3
libprotoc-dev	3.21.12-8.2ubuntu0.3
libprotoc32t64	3.21.12-8.2ubuntu0.3
libproxy1v5	0.5.4-4build1
libpsl5t64	0.21.2-1.1build1
libpsm-infinipath1	3.3+20.604758e7-6.3build1
libpsm2-2	11.2.185-2build1
libpthread-stubs0-dev	0.4-1build3
libpugixml-dev	1.14-0.1build1
libpugixml1v5	1.14-0.1build1
libpulse-dev	1:16.1+dfsg1-2ubuntu10.1
libpulse-mainloop-glib0	1:16.1+dfsg1-2ubuntu10.1
libpulse0	1:16.1+dfsg1-2ubuntu10.1
libpwquality-common	1.4.5-3build1
libpwquality-tools	1.4.5-3build1
libpwquality1	1.4.5-3build1
libpyside2-dev	5.15.13-1
libpyside2-py3-5.15t64	5.15.13-1
libpython3-dev	3.12.3-0ubuntu2.1
libpython3-stdlib	3.12.3-0ubuntu2.1
libpython3.12-dev	3.12.3-1ubuntu0.15
libpython3.12-minimal	3.12.3-1ubuntu0.15
libpython3.12-stdlib	3.12.3-1ubuntu0.15
libpython3.12t64	3.12.3-1ubuntu0.15
libqhull-dev	2020.2-6build1
libqhull-r8.0	2020.2-6build1
libqhull8.0	2020.2-6build1
libqhullcpp8.0	2020.2-6build1
libqmi-glib5	1.35.2-0ubuntu2
libqmi-proxy	1.35.2-0ubuntu2
libqmi-utils	1.35.2-0ubuntu2
libqrtr-glib0	1.2.2-1ubuntu4
libqt5charts5	5.15.13-1
libqt5concurrent5t64	5.15.13+dfsg-1ubuntu1
libqt5core5t64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64	5.15.13+dfsg-1ubuntu1
libqt5designer5	5.15.13-1
libqt5designercomponents5	5.15.13-1
libqt5gui5t64	5.15.13+dfsg-1ubuntu1
libqt5help5	5.15.13-1
libqt5location5	5.15.13+dfsg-1
libqt5location5-plugins	5.15.13+dfsg-1
libqt5network5t64	5.15.13+dfsg-1ubuntu1
libqt5opengl5-dev	5.15.13+dfsg-1ubuntu1
libqt5opengl5t64	5.15.13+dfsg-1ubuntu1
libqt5positioning5	5.15.13+dfsg-1
libqt5positioning5-plugins	5.15.13+dfsg-1
libqt5positioningquick5	5.15.13+dfsg-1
libqt5printsupport5t64	5.15.13+dfsg-1ubuntu1
libqt5qml5	5.15.13+dfsg-1ubuntu0.1
libqt5qmlmodels5	5.15.13+dfsg-1ubuntu0.1
libqt5qmlworkerscript5	5.15.13+dfsg-1ubuntu0.1
libqt5quick5	5.15.13+dfsg-1ubuntu0.1
libqt5quickcontrols2-5	5.15.13+dfsg-1
libqt5quickparticles5	5.15.13+dfsg-1ubuntu0.1
libqt5quickshapes5	5.15.13+dfsg-1ubuntu0.1
libqt5quicktemplates2-5	5.15.13+dfsg-1
libqt5quicktest5	5.15.13+dfsg-1ubuntu0.1
libqt5quickwidgets5	5.15.13+dfsg-1ubuntu0.1
libqt5sensors5	5.15.13-1
libqt5serialport5	5.15.13-1
libqt5sql5-sqlite	5.15.13+dfsg-1ubuntu1
libqt5sql5t64	5.15.13+dfsg-1ubuntu1
libqt5svg5	5.15.13-1
libqt5test5t64	5.15.13+dfsg-1ubuntu1
libqt5webchannel5	5.15.13-1
libqt5webkit5	5.212.0~alpha4-36
libqt5webkit5-dev	5.212.0~alpha4-36
libqt5widgets5t64	5.15.13+dfsg-1ubuntu1
libqt5xml5t64	5.15.13+dfsg-1ubuntu1
libquadmath0	14.2.0-4ubuntu2~24.04.1
librabbitmq4	0.11.0-1ubuntu0.1
libraqm0	0.10.1-1build1
librav1e0	0.7.1-2
libraw1394-11	2.1.2-2build3
libraw1394-dev	2.1.2-2build3
libraw23t64	0.21.2-2.1ubuntu0.24.04.2
librbio4	1:7.6.1+dfsg-1build1
librdmacm1t64	50.0-2ubuntu0.2
libre2-10	20230301-3build1
libreadline-dev	8.2-4build1
libreadline8t64	8.2-4build1
libreiserfscore0t64	1:3.6.27-7.1build1
librhash0	1.4.3-3build1
librist4	0.2.10+dfsg-2
librsvg2-2	2.58.0+dfsg-1build1
librsvg2-common	2.58.0+dfsg-1build1
librtmp1	2.4+20151223.gitfa8646d.1-2build7
librttopo-dev	1.1.0-3build2
librttopo1	1.1.0-3build2
librubberband2	3.3.0+dfsg-2build1
libruby	1:3.2~ubuntu1
libruby3.2	3.2.3-1ubuntu0.24.04.8
libsamplerate0	0.2.2-4build1
libsamplerate0-dev	0.2.2-4build1
libsasl2-2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db	2.1.28+dfsg1-5ubuntu3.1
libsdformat14	14.9.0-1~noble
libsdformat14-dev	14.9.0-1~noble
libsdl2-2.0-0	2.30.0+dfsg-1ubuntu3.1
libsdl2-dev	2.30.0+dfsg-1ubuntu3.1
libseccomp2	2.5.5-1ubuntu3.1
libselinux1	3.5-2ubuntu2.1
libselinux1-dev	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5	1:3.6.0-9build1
libsepol-dev	3.5-2build1
libsepol2	3.5-2build1
libserd-0-0	0.32.2-1
libsframe1	2.42-4ubuntu2.10
libsgutils2-1.46-2	1.46-3ubuntu4
libshaderc-dev	2023.8-1build1
libshaderc1	2023.8-1build1
libsharpyuv-dev	1.3.2-0.4build3
libsharpyuv0	1.3.2-0.4build3
libshiboken2-dev	5.15.13-1
libshiboken2-py3-5.15t64	5.15.13-1
libshine3	3.1.1-2build1
libsigsegv2	2.14-1ubuntu2
libsixel-bin	1.10.3-3build1
libsixel1	1.10.3-3build1
libslang2	2.3.3-3build2
libsm-dev	2:1.2.3-1build3
libsm6	2:1.2.3-1build3
libsmartcols1	2.39.3-9ubuntu6.5
libsnappy1v5	1.1.10-1build1
libsndfile1	1.2.2-1ubuntu5.24.04.1
libsndio-dev	1.9.0-0.3build3
libsndio7.0	1.9.0-0.3build3
libsocket++1	1.12.13+git20131030.5d039ba-1build1
libsodium-dev	1.0.18-1ubuntu0.24.04.1
libsodium23	1.0.18-1ubuntu0.24.04.1
libsord-0-0	0.16.16-2build1
libsort-naturally-perl	1.03-4
libsoxr0	0.1.3-4build3
libspatialite-dev	5.1.0-3build1
libspatialite8t64	5.1.0-3build1
libspdlog-dev	1:1.12.0+ds-2build1
libspdlog1.12	1:1.12.0+ds-2build1
libspectre1	0.2.12-1build2
libspeex1	1.2.1-2ubuntu2.24.04.1
libspex2	1:7.6.1+dfsg-1build1
libsphinxbase3t64	0.8+5prealpha+1-17build2
libspqr4	1:7.6.1+dfsg-1build1
libsqlite3-0	3.45.1-1ubuntu2.7
libsqlite3-dev	3.45.1-1ubuntu2.7
libsratom-0-0	0.6.16-1build1
libsrt1.5-gnutls	1.5.3-1build2
libss2	1.47.0-2.4~exp1ubuntu4.1
libssh-4	0.10.6-2ubuntu0.4
libssh-gcrypt-4	0.10.6-2ubuntu0.4
libssl-dev	3.0.13-0ubuntu3.11
libssl3t64	3.0.13-0ubuntu3.11
libstdc++-13-dev	13.3.0-6ubuntu2~24.04.1
libstdc++6	14.2.0-4ubuntu2~24.04.1
libstemmer0d	2.2.0-4build1
libsuitesparse-dev	1:7.6.1+dfsg-1build1
libsuitesparse-mongoose3	1:7.6.1+dfsg-1build1
libsuitesparseconfig7	1:7.6.1+dfsg-1build1
libsuperlu-dev	6.0.1+dfsg1-1build1
libsuperlu6	6.0.1+dfsg1-1build1
libsvtav1enc1d1	1.7.0+dfsg-2build1
libswresample-dev	7:6.1.1-3ubuntu5
libswresample4	7:6.1.1-3ubuntu5
libswscale-dev	7:6.1.1-3ubuntu5
libswscale7	7:6.1.1-3ubuntu5
libsystemd-shared	255.4-1ubuntu8.16
libsystemd0	255.4-1ubuntu8.16
libsz2	1.1.2-1build1
libtasn1-6	4.19.0-3ubuntu0.24.04.2
libtbb-dev	2021.11.0-2ubuntu2
libtbb12	2021.11.0-2ubuntu2
libtbbbind-2-5	2021.11.0-2ubuntu2
libtbbmalloc2	2021.11.0-2ubuntu2
libtcl8.6	8.6.14+dfsg-1build1
libteamdctl0	1.31-1build3
libterm-readkey-perl	2.38-2build4
libtesseract5	5.3.4-1build5
libtext-charwidth-perl	0.04-11build3
libtext-iconv-perl	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0	0.1.29-2build1
libtheora-dev	1.1.1+dfsg.1-16.1build3
libtheora0	1.1.1+dfsg.1-16.1build3
libtie-ixhash-perl	1.23-4
libtiff-dev	4.5.1+git230720-4ubuntu2.5
libtiff6	4.5.1+git230720-4ubuntu2.5
libtiffxx6	4.5.1+git230720-4ubuntu2.5
libtimedate-perl	2.3300-2
libtinfo6	6.4+20240113-1ubuntu2.1
libtinyxml2-10	10.0.0+dfsg-2
libtinyxml2-dev	10.0.0+dfsg-2
libtinyxml2.6.2v5	2.6.2-6.1
libtirpc-common	1.3.4+ds-1.1build1
libtirpc-dev	1.3.4+ds-1.1build1
libtirpc3t64	1.3.4+ds-1.1build1
libtk8.6	8.6.14-1build1
libtraceevent1	1:1.8.2-1ubuntu2.1
libtraceevent1-plugin	1:1.8.2-1ubuntu2.1
libtracefs1	1.8.0-1ubuntu1
libtry-tiny-perl	0.31-2
libtsan2	14.2.0-4ubuntu2~24.04.1
libtss2-esys-3.0.2-0t64	4.0.1-7.1ubuntu5.1
libtss2-mu-4.0.1-0t64	4.0.1-7.1ubuntu5.1
libtss2-sys1t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-cmd0t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-device0t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-mssim0t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-swtpm0t64	4.0.1-7.1ubuntu5.1
libtwolame0	0.4.0-2build3
libubsan1	14.2.0-4ubuntu2~24.04.1
libuchardet0	0.0.8-1build1
libucx0	1.16.0+ds-5ubuntu1
libudev-dev	255.4-1ubuntu8.16
libudev1	255.4-1ubuntu8.16
libudfread0	1.1.2-1build1
libudisks2-0	2.10.1-6ubuntu1.3
libumfpack6	1:7.6.1+dfsg-1build1
libunibreak5	5.1-2build1
libunistring5	1.1-2build1.1
libunwind-dev	1.6.2-3build1.1
libunwind8	1.6.2-3build1.1
libupower-glib3	1.90.3-1
liburcu-dev	0.14.0-3.1build1
liburcu8t64	0.14.0-3.1build1
liburdfdom-dev	4.0.0-0ubuntu1
liburdfdom-headers-dev	1.0.5-3
liburdfdom-model-state4.0	4.0.0-0ubuntu1
liburdfdom-model4.0	4.0.0-0ubuntu1
liburdfdom-sensor4.0	4.0.0-0ubuntu1
liburdfdom-world4.0	4.0.0-0ubuntu1
liburi-perl	5.27-1
liburiparser-dev	0.9.7+dfsg-2build1
liburiparser1	0.9.7+dfsg-2build1
libusb-1.0-0	2:1.0.27-1
libusb-1.0-0-dev	2:1.0.27-1
libusbmuxd6	2.0.2-4build3
libutempter0	1.2.1-3build1
libutfcpp-dev	3.2.5+really3.2.4-1
libuuid1	2.39.3-9ubuntu6.5
libuv1-dev	1.48.0-1.1build1
libuv1t64	1.48.0-1.1build1
libva-drm2	2.20.0-2ubuntu0.2
libva-x11-2	2.20.0-2ubuntu0.2
libva2	2.20.0-2ubuntu0.2
libvdpau1	1.5-2build1
libvidstab1.1	1.1.0-2build1
libvolume-key1	0.3.12-7build2
libvorbis0a	1.3.7-1build3
libvorbisenc2	1.3.7-1build3
libvorbisfile3	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9	1.14.0-1ubuntu2.3
libvtk9-dev	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9-java	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9-qt-dev	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9.1t64	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9.1t64-qt	9.1.0+really9.1.0+dfsg2-7.1build3
libvulkan-dev	1.3.275.0-1build1
libvulkan1	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9	2.10.0-2
libwayland-bin	1.22.0-2.1build1
libwayland-client0	1.22.0-2.1build1
libwayland-cursor0	1.22.0-2.1build1
libwayland-dev	1.22.0-2.1build1
libwayland-egl1	1.22.0-2.1build1
libwayland-server0	1.22.0-2.1build1
libwebp-dev	1.3.2-0.4build3
libwebp7	1.3.2-0.4build3
libwebpdecoder3	1.3.2-0.4build3
libwebpdemux2	1.3.2-0.4build3
libwebpmux3	1.3.2-0.4build3
libwebsockets-dev	4.3.3-1.1build3
libwebsockets-evlib-ev	4.3.3-1.1build3
libwebsockets-evlib-glib	4.3.3-1.1build3
libwebsockets-evlib-uv	4.3.3-1.1build3
libwebsockets19t64	4.3.3-1.1build3
libwmf-0.2-7	0.2.13-1.1build3
libwmf-dev	0.2.13-1.1build3
libwmflite-0.2-7	0.2.13-1.1build3
libwoff1	1.0.2-2build1
libwrap0	7.6.q-33
libwww-perl	6.76-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libx11-6	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-dev	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb-dev	2:1.8.7-1build1
libx11-xcb1	2:1.8.7-1build1
libx264-164	2:0.164.3108+git31e19f9-1
libx265-199	3.5-2build1
libx265-dev	3.5-2build1
libxau-dev	1:1.0.9-1build6
libxau6	1:1.0.9-1build6
libxaw7	2:1.0.14-1build2
libxaw7-dev	2:1.0.14-1build2
libxcb-dri3-0	1.15-1ubuntu2
libxcb-glx0	1.15-1ubuntu2
libxcb-icccm4	0.4.1-1.1build3
libxcb-image0	0.4.0-2build1
libxcb-keysyms1	0.4.0-1build4
libxcb-present0	1.15-1ubuntu2
libxcb-randr0	1.15-1ubuntu2
libxcb-randr0-dev	1.15-1ubuntu2
libxcb-render-util0	0.3.9-1build4
libxcb-render0	1.15-1ubuntu2
libxcb-render0-dev	1.15-1ubuntu2
libxcb-shape0	1.15-1ubuntu2
libxcb-shm0	1.15-1ubuntu2
libxcb-shm0-dev	1.15-1ubuntu2
libxcb-sync1	1.15-1ubuntu2
libxcb-util1	0.4.0-1build3
libxcb-xfixes0	1.15-1ubuntu2
libxcb-xinerama0	1.15-1ubuntu2
libxcb-xinput0	1.15-1ubuntu2
libxcb-xkb1	1.15-1ubuntu2
libxcb1	1.15-1ubuntu2
libxcb1-dev	1.15-1ubuntu2
libxcomposite1	1:0.4.5-1build3
libxcursor-dev	1:1.2.1-1build1
libxcursor1	1:1.2.1-1build1
libxcvt0	0.1.2-1build1
libxdamage1	1:1.1.6-1build1
libxdmcp-dev	1:1.1.3-0ubuntu6
libxdmcp6	1:1.1.3-0ubuntu6
libxerces-c-dev	3.2.4+debian-1.2ubuntu2
libxerces-c3.2t64	3.2.4+debian-1.2ubuntu2
libxext-dev	2:1.3.4-1build2
libxext6	2:1.3.4-1build2
libxfixes-dev	1:6.0.0-2build1
libxfixes3	1:6.0.0-2build1
libxfont2	1:2.0.6-1+deb13u1build0.24.04.2
libxft-dev	2.3.6-1build1
libxft2	2.3.6-1build1
libxi-dev	2:1.8.1-1build1
libxi6	2:1.8.1-1build1
libxinerama-dev	2:1.1.4-3build1
libxinerama1	2:1.1.4-3build1
libxkbcommon-dev	1.6.0-1build1
libxkbcommon-x11-0	1.6.0-1build1
libxkbcommon0	1.6.0-1build1
libxkbfile1	1:1.1.0-1build4
libxml-parser-perl	2.47-1ubuntu0.24.04.1
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2	2.9.14+dfsg-1.3ubuntu3.8
libxml2-dev	2.9.14+dfsg-1.3ubuntu3.8
libxml2-utils	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2	0.3.24-1~ubuntu0.24.04.1
libxmlsec1t64	1.2.39-5build2
libxmlsec1t64-openssl	1.2.39-5build2
libxmu-dev	2:1.1.3-3build2
libxmu-headers	2:1.1.3-3build2
libxmu6	2:1.1.3-3build2
libxmuu1	2:1.1.3-3build2
libxnvctrl0	510.47.03-0ubuntu4.24.04.1
libxpm-dev	1:3.5.17-1build2
libxpm4	1:3.5.17-1build2
libxrandr-dev	2:1.5.2-2build1
libxrandr2	2:1.5.2-2build1
libxrender-dev	1:0.9.10-1.1build1
libxrender1	1:0.9.10-1.1build1
libxshmfence1	1.3-1build5
libxsimd-dev	12.1.1-3build1
libxslt1.1	1.1.39-0exp1ubuntu0.24.04.3
libxss-dev	1:1.2.3-1build3
libxss1	1:1.2.3-1build3
libxt-dev	1:1.2.1-1.2build1
libxt6t64	1:1.2.1-1.2build1
libxtables12	1.8.10-3ubuntu2
libxtensor-dev	0.25.0-1
libxtst6	2:1.2.3-1.1build1
libxv-dev	2:1.0.11-1.1build1
libxv1	2:1.0.11-1.1build1
libxvidcore4	2:1.3.7-1build1
libxxf86dga1	2:1.1.5-1build1
libxxf86vm-dev	1:1.1.4-1build4
libxxf86vm1	1:1.1.4-1build4
libxxhash0	0.8.2-2build1
libyaml-0-2	0.2.5-1build1
libyaml-cpp-dev	0.8.0+dfsg-6build1
libyaml-cpp0.8	0.8.0+dfsg-6build1
libyaml-dev	0.2.5-1build1
libyuv0	0.0~git202401110.af6ac82-1
libzimg2	3.0.5+ds1-1build1
libzip-dev	1.7.3-1.1ubuntu2
libzip4t64	1.7.3-1.1ubuntu2
libzix-0-0	0.4.2-2build1
libzmq3-dev	4.3.5-1build2
libzmq5	4.3.5-1build2
libzstd-dev	1.5.5+dfsg2-2build1.1
libzstd1	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64	0.2.42-2
libzzip-0-13t64	0.13.72+dfsg.1-1.2build1
libzzip-dev	0.13.72+dfsg.1-1.2build1
linux-base	4.5ubuntu9+24.04.2
linux-firmware	20240318.git3b128b60-0ubuntu2.27
linux-generic	6.8.0-136.136
linux-headers-6.8.0-134	6.8.0-134.134
linux-headers-6.8.0-134-generic	6.8.0-134.134
linux-headers-6.8.0-136	6.8.0-136.136
linux-headers-6.8.0-136-generic	6.8.0-136.136
linux-headers-generic	6.8.0-136.136
linux-image-6.8.0-134-generic	6.8.0-134.134
linux-image-6.8.0-136-generic	6.8.0-136.136
linux-image-generic	6.8.0-136.136
linux-libc-dev	6.8.0-136.136
linux-modules-6.8.0-134-generic	6.8.0-134.134
linux-modules-6.8.0-136-generic	6.8.0-136.136
linux-modules-extra-6.8.0-134-generic	6.8.0-134.134
linux-modules-extra-6.8.0-136-generic	6.8.0-136.136
linux-modules-nvidia-595-open-6.8.0-134-generic	6.8.0-134.134
linux-modules-nvidia-595-open-6.8.0-136-generic	6.8.0-136.136
linux-modules-nvidia-595-open-generic	6.8.0-136.136
linux-tools-6.8.0-134	6.8.0-134.134
linux-tools-6.8.0-134-generic	6.8.0-134.134
linux-tools-6.8.0-136	6.8.0-136.136
linux-tools-6.8.0-136-generic	6.8.0-136.136
linux-tools-common	6.8.0-136.136
lm-sensors	1:3.6.0-9build1
locales	2.39-0ubuntu8.7
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-base	11.6
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
lsof	4.95.0-1build3
lto-disabled-list	47
lttng-tools	2.13.11-2.1build4
lvm2	2.03.16-3ubuntu3.2
lxd-agent-loader	0.7ubuntu0.1
lxd-installer	4ubuntu0.1
m4	1.4.19-4build1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
mdadm	4.3-1ubuntu2.1
media-types	10.1.0
mesa-libgallium	25.2.8-0ubuntu0.24.04.2
mesa-utils	9.0.0-2
mesa-utils-bin	9.0.0-2
mesa-vdpau-drivers	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers	25.2.8-0ubuntu0.24.04.2
modemmanager	1.23.4-0ubuntu2
mokutil	0.6.0-2build3
motd-news-config	13ubuntu10.4
mount	2.39.3-9ubuntu6.5
mpi-default-bin	1.15build1
mpi-default-dev	1.15build1
mtr-tiny	0.95-1.1ubuntu0.1
multipath-tools	0.9.4-5ubuntu8.2
mysql-common	5.8+1.1.0build1
nano	7.2-2ubuntu0.2
ncdu	1.19-0.1
ncurses-base	6.4+20240113-1ubuntu2.1
ncurses-bin	6.4+20240113-1ubuntu2.1
ncurses-term	6.4+20240113-1ubuntu2.1
needrestart	3.6-7ubuntu4.5
neowofetch	1.4.11-1
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
nethogs	0.8.7-2build2
netpbm	2:11.05.02-1.1build1
netplan-generator	1.1.2-8ubuntu1~24.04.2
netplan.io	1.1.2-8ubuntu1~24.04.2
network-manager	1.46.0-1ubuntu2.7
network-manager-pptp	1.2.12-3build2
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1ubuntu0.1
nginx	1.24.0-2ubuntu7.15
nginx-common	1.24.0-2ubuntu7.15
nlohmann-json3-dev	3.11.3-1
node-abbrev	1.1.1+~1.1.2-1
node-acorn	8.8.1+ds+~cs25.17.7-2
node-agent-base	7.1.0~0~2023071921-5
node-ajv	8.12.0~ds+~2.1.1-4
node-ajv-keywords	5.1.0-4
node-ampproject-remapping	2.2.0+~cs5.15.37-1
node-ansi-escapes	5.0.0+really.4.3.1-1
node-ansi-regex	5.0.1-1
node-ansi-styles	6.2.1-2
node-anymatch	3.1.3+~cs4.6.1-2
node-aproba	2.0.0-3
node-archy	1.0.0-6
node-are-we-there-yet	3.0.1+~1.1.0-1
node-argparse	2.0.1-2
node-arrify	2.0.1-3
node-assert	2.0.0+~cs3.9.8-2
node-async	0.8.0-6
node-async-each	1.0.3-3
node-auto-bind	4.0.0-2
node-babel-helper-define-polyfill-provider	0.3.3~0~20220913+ds1-1
node-babel-plugin-add-module-exports	1.0.4+dfsg1~cs5.8.0-4
node-babel-plugin-lodash	3.3.4+~cs2.0.1-7
node-babel-plugin-polyfill-corejs2	0.3.3~0~20220913+ds1-1
node-babel-plugin-polyfill-corejs3	0.6.0~0~20220913+ds1-1
node-babel-plugin-polyfill-regenerator	0.4.1~0~20220913+ds1-1
node-babel7	7.20.15+ds1+~cs214.269.168-6build1
node-babel7-runtime	7.20.15+ds1+~cs214.269.168-6build1
node-balanced-match	2.0.0-1
node-base	3.0.0-3
node-base64-js	1.5.1+dfsg+~1.3.0-2
node-binary-extensions	2.2.0-2
node-brace-expansion	2.0.1+~1.1.0-1
node-braces	3.0.2+~3.0.1-1
node-browserslist	4.22.1+~cs6.1.28-1
node-builtins	5.0.1-1
node-busboy	1.6.0+~cs2.6.0-2
node-cacache	17.0.3+~cs10.3.7-1
node-cache-base	4.0.2-1
node-camelcase	7.0.0-3
node-caniuse-lite	1.0.30001571+dfsg+~1.0.5-1
node-chalk	5.3.0-1build1
node-chokidar	3.6.0-2
node-chownr	2.0.0-2
node-chrome-trace-event	1.0.3-2
node-ci-info	4.0.0+~cs1.1.0-1build2
node-cjs-module-lexer	1.2.3+dfsg-1
node-cli-boxes	3.0.0-1build2
node-cli-cursor	4.0.0-3
node-cli-table	0.3.11+~cs0.13.4-3
node-cli-truncate	2.1.0-5
node-cliui	7.0.4+repack+~cs3.1.0-4
node-clone	2.1.2+~2.1.2-1
node-clone-deep	4.0.1+~cs7.0.2-1
node-collection-visit	1.0.0-4
node-color-convert	2.0.1+~cs2.0.0-2
node-color-name	1.1.4+~1.1.1-2
node-colors	1.4.0-4
node-columnify	1.6.0+~1.5.1-1
node-commander	9.4.1-1
node-commondir	1.0.1+~1.0.0-1
node-concat-stream	2.0.0+~2.0.0-2
node-console-control-strings	1.1.0-3
node-convert-source-map	1.9.0+~1.5.2-1
node-copy-concurrently	1.0.5-9
node-core-js	3.33.2-1build2
node-core-js-compat	3.33.2-1build2
node-core-js-pure	3.33.2-1build2
node-core-util-is	1.0.3-1
node-coveralls	3.1.1-2build1
node-css-loader	6.8.1+~cs14.0.17-1
node-css-selector-tokenizer	0.8.0+~cs4.8.3-1
node-data-uri-to-buffer	5.0.1~0~2023071921-5
node-debbundle-es-to-primitive	1.2.1+~cs9.7.25-2
node-debug	4.3.4+~cs4.1.7-1
node-decamelize	4.0.0-2
node-decompress-response	6.0.0-2
node-deep-equal	2.2.3+~cs43.15.94-1
node-deep-is	0.1.4-1
node-defaults	1.0.4+~1.0.3-1
node-define-properties	1.2.1+~cs2.2.3-1
node-define-property	2.0.2+really+2.0.2-3
node-defined	1.0.1+~1.0.0-1
node-del	7.0.0-5
node-delegates	1.0.0-3
node-depd	2.0.0-2
node-diff	5.0.0~dfsg+~5.0.1-4
node-doctrine	3.0.0-4
node-electron-to-chromium	1.4.616-1
node-encoding	0.1.13-2
node-end-of-stream	1.4.4+~1.4.1-1
node-enhanced-resolve	5.15.0-1
node-err-code	2.0.3+dfsg-3
node-errno	1.0.0-3
node-error-ex	1.3.2-4
